feature,true_coef
feature_0,2.0
feature_1,-1.5
feature_2,1.0
feature_3,0.5
feature_4,-0.8
feature_5,0.0
feature_6,0.0
feature_7,0.0
feature_8,0.0
feature_9,0.0
feature_10,0.0
feature_11,0.0
feature_12,0.0
feature_13,0.0
feature_14,0.0
feature_15,0.0
feature_16,0.0
feature_17,0.0
feature_18,0.0
feature_19,0.0
feature_20,0.0
feature_21,0.0
feature_22,0.0
feature_23,0.0
feature_24,0.0
feature_25,0.0
feature_26,0.0
feature_27,0.0
feature_28,0.0
feature_29,0.0
feature_30,0.0
feature_31,0.0
feature_32,0.0
feature_33,0.0
feature_34,0.0
feature_35,0.0
feature_36,0.0
feature_37,0.0
feature_38,0.0
feature_39,0.0
feature_40,0.0
feature_41,0.0
feature_42,0.0
feature_43,0.0
feature_44,0.0
feature_45,0.0
feature_46,0.0
feature_47,0.0
feature_48,0.0
feature_49,0.0
